"region","videoId","publishedAt","channelId","channelTitle","title","description","url"
"US","seQ5RRI6H4c","2020-07-19T00:41:46Z","UCCn7nC3sHd9cPuQmJtjXRVA","Mock Call Sample Recording With Call Flow Guide: PART 1","Mock Call Sample Recording With Call Flow Guide: PART 1","PART 2 (BOOKING MOCK CALL): https://youtu.be/v7ZyTTnt2D8 Curious about what goes on during a mock call and how to pass ...","https://www.youtube.com/watch?v=seQ5RRI6H4c"
"US","tvERE-Beu2U","2025-09-21T14:01:33Z","UC2GyeAMRDA4cRIiISejML2g","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Join The Chart Fanatics FREE Discord Community for Exclusive Discounts  Giveaways  Live Events & More https://discord.gg/ ...","https://www.youtube.com/watch?v=tvERE-Beu2U"
"US","LbO3lRXT0ww","2018-11-04T09:26:04Z","UCBMi29ZI3a15lElkXpFng7Q","Main Idea | Summarising | Reading Strategies","Main Idea | Summarising | Reading Strategies","Learn how to determine the main idea of a text. Similar to summarising  this is an important reading strategy that helps readers ...","https://www.youtube.com/watch?v=LbO3lRXT0ww"
"US","4Qs2Le544JQ","2023-04-29T16:55:29Z","UC5eEWVXu2FQSEKKA8tLyiCQ","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","in this shorts we are showing scalping strategy for 1 min . you can use this trading strategy in nifty and Banknifty. you can also use ...","https://www.youtube.com/watch?v=4Qs2Le544JQ"
"US","cFdpMAshkiw","2023-07-19T22:33:30Z","UC9KV4pshtiKoQF_IanKiT_w","Orderflow is better than candlestick charts !","Orderflow is better than candlestick charts !","","https://www.youtube.com/watch?v=cFdpMAshkiw"
"US","8b5qxcKNT0s","2022-06-30T08:41:32Z","UCRA4UOCBRgv2w9b59pDMyvQ","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Time Management Hack - https://youtu.be/Y08aBMWGe-I.","https://www.youtube.com/watch?v=8b5qxcKNT0s"
"US","g6WZyHwd7oY","2020-05-13T22:30:03Z","UCcIvNGMBSQWwo1v3n-ZRBCw","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","Learn to Day Trade: https://bit.ly/3uN3BpI Time stamps: 1:34 What is Level 2 Market Depth 5:13 What is Time and Sales (tape) ...","https://www.youtube.com/watch?v=g6WZyHwd7oY"
"US","hjBEgehyHsI","2023-08-20T23:09:21Z","UCir8ZEhgIOLY__2tN1Pi0ig","The Game-Changing TRADING Tool of 2024","The Game-Changing TRADING Tool of 2024","daytrading #stockmarket #trading In this video I breakdown how I use Footprint charts with order flow to understand the direction ...","https://www.youtube.com/watch?v=hjBEgehyHsI"
"US","6Ac38LzXj3A","2024-09-24T12:00:08Z","UC8ue0lXRPv8cqyI9W26BtBg","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master order flow trading in record time! Fractal Trading - Mastering Price Action & Beyond shopping cart: ...","https://www.youtube.com/watch?v=6Ac38LzXj3A"
"US","3VeCDeQPJDE","2022-02-17T16:29:07Z","UCOtm57EUdtsWqQY7xtfTUBA","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","","https://www.youtube.com/watch?v=3VeCDeQPJDE"
