symbol,date,raw_signal,guarded_signal,final_signal,trade_return,cum_pnl
AAPL,2025-06-01,HOLD,HOLD,HOLD,0,0.0
AAPL,2025-06-02,BUY,BUY,BUY,-0.0022,-0.0022
AAPL,2025-06-03,HOLD,HOLD,HOLD,0,-0.0022
AAPL,2025-06-04,SELL,SELL,SELL,-0.0164,-0.0186
AAPL,2025-06-05,HOLD,HOLD,HOLD,0,-0.0186
AAPL,2025-06-08,HOLD,HOLD,HOLD,0,-0.0186
AAPL,2025-06-09,HOLD,HOLD,HOLD,0,-0.0186
AAPL,2025-06-10,SELL,SELL,SELL,-0.0021,-0.0207
AAPL,2025-06-11,HOLD,HOLD,HOLD,0,-0.0207
AAPL,2025-06-12,SELL,SELL,SELL,-0.01,-0.0308
AAPL,2025-06-15,HOLD,HOLD,HOLD,0,-0.0308
AAPL,2025-06-16,SELL,SELL,SELL,-0.0048,-0.0356
AAPL,2025-06-17,HOLD,HOLD,HOLD,0,-0.0356
AAPL,2025-06-19,BUY,BUY,BUY,0.0025,-0.0331
AAPL,2025-06-22,HOLD,HOLD,HOLD,0,-0.0331
AAPL,2025-06-23,HOLD,HOLD,HOLD,0,-0.0331
AAPL,2025-06-24,HOLD,HOLD,HOLD,0,-0.0331
AAPL,2025-06-25,HOLD,HOLD,HOLD,0,-0.0331
AAPL,2025-06-26,HOLD,HOLD,HOLD,0,-0.0331
AAPL,2025-06-29,BUY,BUY,BUY,0.0129,-0.0202
AAPL,2025-06-30,BUY,BUY,BUY,0.0222,0.0021
AAPL,2025-07-01,BUY,BUY,BUY,0.0052,0.0073
AAPL,2025-07-02,BUY,BUY,BUY,-0.0169,-0.0096
AAPL,2025-07-06,HOLD,HOLD,HOLD,0,-0.0096
AAPL,2025-07-07,HOLD,HOLD,HOLD,0,-0.0096
AAPL,2025-07-08,HOLD,HOLD,HOLD,0,-0.0096
AAPL,2025-07-09,BUY,BUY,BUY,-0.0059,-0.0154
AAPL,2025-07-10,HOLD,HOLD,HOLD,0,-0.0154
AAPL,2025-07-13,SELL,SELL,SELL,-0.0023,-0.0178
AAPL,2025-07-14,HOLD,HOLD,HOLD,0,-0.0178
AAPL,2025-07-15,HOLD,HOLD,HOLD,0,-0.0178
AAPL,2025-07-16,HOLD,HOLD,HOLD,0,-0.0178
AAPL,2025-07-17,HOLD,HOLD,HOLD,0,-0.0178
AAPL,2025-07-20,BUY,BUY,BUY,0.009,-0.0088
AAPL,2025-07-21,HOLD,HOLD,HOLD,0,-0.0088
AAPL,2025-07-22,HOLD,HOLD,HOLD,0,-0.0088
AAPL,2025-07-23,HOLD,HOLD,HOLD,0,-0.0088
AAPL,2025-07-24,HOLD,HOLD,HOLD,0,-0.0088
AAPL,2025-07-27,HOLD,HOLD,HOLD,0,-0.0088
AAPL,2025-07-28,SELL,SELL,SELL,0.0105,0.0018
AAPL,2025-07-29,SELL,SELL,SELL,0.0071,0.0088
AAPL,2025-07-30,SELL,SELL,SELL,0.025,0.0338
AAPL,2025-07-31,SELL,SELL,SELL,-0.0048,0.029
AAPL,2025-08-03,HOLD,HOLD,HOLD,0,0.029
AAPL,2025-08-04,HOLD,HOLD,HOLD,0,0.029
AAPL,2025-08-05,BUY,BUY,BUY,0.0318,0.0608
AAPL,2025-08-06,BUY,BUY,BUY,0.0424,0.1032
AAPL,2025-08-07,BUY,BUY,BUY,-0.0095,0.0937
AAPL,2025-08-10,HOLD,HOLD,HOLD,0,0.0937
AAPL,2025-08-11,HOLD,HOLD,HOLD,0,0.0937
AAPL,2025-08-12,BUY,BUY,BUY,-0.0024,0.0914
AAPL,2025-08-13,HOLD,HOLD,HOLD,0,0.0914
AAPL,2025-08-14,HOLD,HOLD,HOLD,0,0.0914
