symbol,date,time,signal,trade_return,daily_pnl,cum_pnl
AAPL,2025-08-22,01:03,HOLD,0,0.0,0.0
AAPL,2025-08-22,01:06,HOLD,0,0.0,0.0
AAPL,2025-08-22,01:07,BUY,0.001,0.001,0.001
AAPL,2025-08-22,01:08,BUY,0.001,0.002,0.002
AAPL,2025-08-22,01:11,HOLD,0,0.002,0.002
AAPL,2025-08-22,01:15,HOLD,0,0.002,0.002
AAPL,2025-08-22,01:19,HOLD,0,0.002,0.002
AAPL,2025-08-22,01:20,BUY,0.001,0.003,0.003
AAPL,2025-08-22,01:21,HOLD,0,0.003,0.003
AAPL,2025-08-22,01:25,SELL,-0.001,0.002,0.002
AAPL,2025-08-22,01:30,HOLD,0,0.002,0.002
AAPL,2025-08-22,01:42,BUY,0.001,0.003,0.003
AAPL,2025-08-22,01:54,BUY,0.001,0.004,0.004
AAPL,2025-08-22,02:00,BUY,0.001,0.005,0.005
AAPL,2025-08-22,02:01,HOLD,0,0.005,0.005
AAPL,2025-08-22,02:03,SELL,-0.001,0.004,0.004
AAPL,2025-08-22,02:05,HOLD,0,0.004,0.004
AAPL,2025-08-22,02:10,SELL,-0.001,0.003,0.003
AAPL,2025-08-22,02:11,HOLD,0,0.003,0.003
AAPL,2025-08-22,02:25,BUY,0.001,0.004,0.004
AAPL,2025-08-22,02:28,HOLD,0,0.004,0.004
AAPL,2025-08-22,02:32,BUY,0.001,0.005,0.005
AAPL,2025-08-22,02:33,HOLD,0,0.005,0.005
AAPL,2025-08-22,02:56,SELL,-0.001,0.004,0.004
AAPL,2025-08-22,02:57,HOLD,0,0.004,0.004
AAPL,2025-08-22,03:01,BUY,0.001,0.005,0.005
AAPL,2025-08-22,03:17,BUY,0.001,0.006,0.006
AAPL,2025-08-22,03:18,HOLD,0,0.006,0.006
AAPL,2025-08-22,03:21,HOLD,0,0.006,0.006
AAPL,2025-08-22,03:23,BUY,0.001,0.007,0.007
AAPL,2025-08-22,03:27,BUY,0.001,0.008,0.008
AAPL,2025-08-22,03:29,HOLD,0,0.008,0.008
AAPL,2025-08-22,03:31,HOLD,0,0.008,0.008
AAPL,2025-08-22,03:33,BUY,0.001,0.009000000000000001,0.009000000000000001
AAPL,2025-08-22,03:34,HOLD,0,0.009000000000000001,0.009000000000000001
AAPL,2025-08-22,03:43,HOLD,0,0.009000000000000001,0.009000000000000001
AAPL,2025-08-22,03:44,SELL,-0.001,0.008,0.008
AAPL,2025-08-22,03:48,HOLD,0,0.008,0.008
AAPL,2025-08-22,03:53,BUY,0.001,0.009000000000000001,0.009000000000000001
AAPL,2025-08-22,03:55,HOLD,0,0.009000000000000001,0.009000000000000001
AAPL,2025-08-22,03:57,BUY,0.001,0.010000000000000002,0.010000000000000002
AAPL,2025-08-25,01:02,HOLD,0,0.0,0.010000000000000002
AAPL,2025-08-25,01:03,HOLD,0,0.0,0.010000000000000002
AAPL,2025-08-25,01:05,SELL,-0.001,-0.001,0.009000000000000001
AAPL,2025-08-25,01:06,SELL,-0.001,-0.002,0.008
AAPL,2025-08-25,01:12,SELL,-0.001,-0.003,0.007
AAPL,2025-08-25,01:17,SELL,-0.001,-0.004,0.006
AAPL,2025-08-25,01:19,HOLD,0,-0.004,0.006
AAPL,2025-08-25,01:20,SELL,-0.001,-0.005,0.005
AAPL,2025-08-25,01:21,HOLD,0,-0.005,0.005
AAPL,2025-08-25,01:23,SELL,-0.001,-0.006,0.004
AAPL,2025-08-25,01:24,BUY,0.001,-0.005,0.005
AAPL,2025-08-25,01:26,HOLD,0,-0.005,0.005
AAPL,2025-08-25,01:27,BUY,0.001,-0.004,0.006
AAPL,2025-08-25,01:30,BUY,0.001,-0.003,0.007
AAPL,2025-08-25,01:41,HOLD,0,-0.003,0.007
AAPL,2025-08-25,01:44,HOLD,0,-0.003,0.007
AAPL,2025-08-25,01:48,SELL,-0.001,-0.004,0.006
AAPL,2025-08-25,01:49,HOLD,0,-0.004,0.006
AAPL,2025-08-25,01:50,SELL,-0.001,-0.005,0.005
AAPL,2025-08-25,01:51,SELL,-0.001,-0.006,0.004
AAPL,2025-08-25,01:55,SELL,-0.001,-0.007,0.003
AAPL,2025-08-25,01:58,SELL,-0.001,-0.008,0.002
AAPL,2025-08-25,02:01,SELL,-0.001,-0.009000000000000001,0.001
AAPL,2025-08-25,02:02,SELL,-0.001,-0.010000000000000002,0.0
AAPL,2025-08-25,02:04,HOLD,0,-0.010000000000000002,0.0
AAPL,2025-08-25,02:08,BUY,0.001,-0.009000000000000001,0.001
AAPL,2025-08-25,02:12,HOLD,0,-0.009000000000000001,0.001
AAPL,2025-08-25,02:22,SELL,-0.001,-0.010000000000000002,0.0
AAPL,2025-08-25,02:25,HOLD,0,-0.010000000000000002,0.0
AAPL,2025-08-25,02:28,HOLD,0,-0.010000000000000002,0.0
AAPL,2025-08-25,02:29,HOLD,0,-0.010000000000000002,0.0
AAPL,2025-08-25,02:31,BUY,0.001,-0.009000000000000001,0.001
AAPL,2025-08-25,02:33,BUY,0.001,-0.008,0.002
AAPL,2025-08-25,02:36,BUY,0.001,-0.007,0.003
AAPL,2025-08-25,02:38,HOLD,0,-0.007,0.003
AAPL,2025-08-25,02:44,SELL,-0.001,-0.008,0.002
AAPL,2025-08-25,03:09,HOLD,0,-0.008,0.002
AAPL,2025-08-25,03:14,HOLD,0,-0.008,0.002
AAPL,2025-08-25,03:33,SELL,-0.001,-0.009000000000000001,0.001
AAPL,2025-08-25,03:34,HOLD,0,-0.009000000000000001,0.001
AAPL,2025-08-25,03:35,HOLD,0,-0.009000000000000001,0.001
AAPL,2025-08-25,03:36,HOLD,0,-0.009000000000000001,0.001
AAPL,2025-08-25,03:38,HOLD,0,-0.009000000000000001,0.001
AAPL,2025-08-25,03:39,SELL,-0.001,-0.010000000000000002,0.0
AAPL,2025-08-25,03:40,SELL,-0.001,-0.011000000000000003,-0.001
AAPL,2025-08-25,03:43,SELL,-0.001,-0.012000000000000004,-0.002
AAPL,2025-08-25,03:46,SELL,-0.001,-0.013000000000000005,-0.003
AAPL,2025-08-25,03:48,HOLD,0,-0.013000000000000005,-0.003
